,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
mom_a1,7.93124177445037e-11,7.985812011668258e-11,9.76820846432247e-11,6.957869003176853e-11,4.431170361196557e-11,2.143838578883006e-11,1.2136494066672388e-11,8.667437427500868e-12,9.91895194452086e-12,1.5520935231494448e-11,3.6976803563515404e-11,8.042331384183754e-11
mom_a2,1.949258462974335e-12,1.9663346471909815e-12,1.968442119373859e-12,1.3856568887096743e-12,9.26228494943504e-13,4.726869937132783e-13,2.745433546301468e-13,1.8693453360772716e-13,1.9962608226609807e-13,3.7732962370959355e-13,9.33240138813185e-13,1.958287698666794e-12
mom_a3,1.2169259523686637e-11,9.58664484601579e-12,1.1238359201581893e-11,6.415623240996204e-12,3.88196809766872e-12,2.1392826746180482e-12,1.1998109753982855e-12,9.827624825042847e-13,1.1239305926918908e-12,1.8961130408834403e-12,3.814814783509313e-12,9.013025568938016e-12
mom_a4,5.825698058335005e-17,7.308163211218661e-17,4.8117509822515896e-17,7.230815206500052e-17,1.0085700712295759e-16,1.2079547448705418e-16,1.2929203551118246e-16,1.2714578637173807e-16,1.2984668327295642e-16,8.446384909915308e-17,3.0025564357266335e-17,2.4419382497273917e-17
mom_c1,1.1063450502946104e-11,9.999671229943274e-12,9.135675722860004e-12,5.271298154918558e-12,1.253593257845298e-12,5.714057699224284e-13,1.8927532609812336e-13,2.642275775347619e-13,4.053087889182433e-13,5.321596028423636e-13,1.6877354548638923e-12,7.912118876740593e-12
mom_c2,7.728443807229063e-14,7.334471165175785e-14,6.881160138222375e-14,4.6157440933627947e-14,1.4296438924192578e-14,6.2715162212490915e-15,2.5962502157498126e-15,3.0396598934179404e-15,4.300329522002617e-15,7.692147598406269e-15,1.856141074987796e-14,6.014925970493357e-14
mom_c3,9.65481275656821e-13,5.429250798938412e-13,5.58064553769777e-13,1.9605160322868492e-13,9.03199092123011e-14,4.808747326658265e-14,1.0007734929391027e-14,1.8215926339483664e-14,2.614140186870534e-14,4.44290532640966e-14,1.1327915737597075e-13,4.3671563219015164e-13
mom_c4,3.4838011035571585e-22,2.50125452504747e-22,9.239793360955462e-23,2.3962554030685617e-23,3.0321979095091055e-24,1.3607114016192204e-24,4.994160554856508e-25,5.5944792663871065e-24,7.419467792076665e-23,4.6354047392412896e-23,1.9312502984333632e-23,1.2618555931042887e-22
ncl_a1,3.325457686997879e-10,3.9266240259294705e-10,5.700090954796622e-10,5.261857061178432e-10,4.980791890041303e-10,3.879758736502481e-10,3.2687053064250904e-10,2.6893409721395756e-10,2.1912933967360715e-10,1.646240227470841e-10,1.8766110887469267e-10,3.361205203056272e-10
ncl_a2,6.915930068213116e-12,8.035657209082281e-12,1.1067887925597653e-11,1.0453260652909524e-11,1.0634688442368034e-11,8.82163526255697e-12,7.61187987641243e-12,6.067560950201445e-12,4.780325007364139e-12,3.819861094100929e-12,4.626608991753489e-12,7.80760612412168e-12
ncl_a3,8.636326320754506e-09,1.0237229730591935e-08,1.4950959581483403e-08,1.4394775149639827e-08,1.4127978786859785e-08,1.1706395852684182e-08,9.950947621462092e-09,7.75481545645107e-09,5.487767573697511e-09,4.426385924460874e-09,5.603397301712221e-09,9.26869336836944e-09
ncl_c1,5.335007088880239e-11,5.3546778122637306e-11,5.6105776274906205e-11,3.978491841527543e-11,1.3402709497789544e-11,9.53519208035658e-12,4.887948986537216e-12,7.250198271607777e-12,7.73499059941729e-12,4.919437687073147e-12,8.057316966403327e-12,3.5814365362263345e-11
ncl_c2,3.51715997905927e-13,3.666039097727919e-13,4.1563611276676515e-13,3.5426457774268005e-13,1.5601388724754278e-13,1.1152632094744985e-13,7.024430679052757e-14,9.37044631341491e-14,9.655750049346323e-14,6.956530485121779e-14,8.730108378828677e-14,2.716592413260638e-13
ncl_c3,1.2035604735061156e-09,1.1709293534778453e-09,1.2202300281316525e-09,8.055494604697344e-10,2.984397173833031e-10,2.0212617690695822e-10,1.0954436663324074e-10,1.5543286102648324e-10,1.5451685764222844e-10,1.1336225708147296e-10,1.9098217451940513e-10,8.271660023595473e-10
pom_a1,1.2633896207848994e-13,1.5095394281360724e-13,1.5579501393397227e-13,2.175578375221074e-13,1.8361453037272352e-13,1.7660636950252162e-13,1.6478398506825087e-13,1.8135514791295382e-13,3.836894723382306e-13,2.903605903891576e-13,1.4290473101738477e-13,9.316089159870991e-14
pom_a3,5.98836369489382e-14,5.462863776790894e-14,4.2267435347098994e-14,4.0571912555921116e-14,4.132785896815948e-14,5.533072982536087e-14,5.66284961089035e-14,8.149662449876902e-14,1.2898114922030995e-13,1.2072199522591281e-13,7.313744607769651e-14,4.5161652060176846e-14
pom_a4,3.0241993398448866e-14,3.184262817074353e-14,2.8063156995699473e-14,8.160436031339618e-14,1.5955907927377166e-13,2.5892355208674556e-13,3.287290958105954e-13,3.842619039802486e-13,3.964311517945518e-13,1.3945227893448486e-13,2.6857991742082477e-14,1.439301253864083e-14
