,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
mom_a1,3.725418411260062e-12,3.1755034799602067e-12,3.9852149358310385e-12,5.6056617681043974e-12,1.058477264170854e-11,1.2639115448687122e-11,2.593370830583641e-11,1.8311878055565778e-11,7.954287402356375e-12,4.779185294040422e-12,5.535114901145111e-12,3.9953114601420925e-12
mom_a2,1.9824563879063985e-14,1.7285091340559812e-14,1.8348424315290865e-14,1.854892209610364e-14,2.3546465612814954e-14,2.1357764664361838e-14,1.2885040629676946e-14,6.102545430249594e-15,1.0039971309297631e-14,2.1335131944011203e-14,2.4173127692247998e-14,2.0295956348935842e-14
mom_a3,4.2823302412800524e-13,4.3043560794646385e-13,6.522519612091326e-13,6.810241389917926e-13,8.491674160712726e-13,1.1582941637083843e-12,2.2314418108432266e-12,1.9257304084696614e-12,1.002991418218302e-12,5.790157849711042e-13,5.857271048390067e-13,5.043087258557732e-13
mom_a4,1.1262803340853747e-15,8.332042873574266e-16,8.075082194134873e-16,1.0557058665575016e-15,1.3450225693072983e-15,4.41667913230777e-16,2.404407576410758e-16,1.45716824921611e-16,3.5493660987138335e-16,1.3337507842408301e-15,1.7090200494341385e-15,1.2479681577823613e-15
mom_c1,5.8527897189386644e-15,6.870648882863423e-15,4.968867385688608e-14,6.329222627769748e-14,2.944856001847046e-13,5.60161834452233e-13,1.2467182234493501e-12,6.148220496084156e-13,4.083594898861287e-13,8.609246941650855e-14,6.644652953942745e-14,1.6159403188383686e-14
mom_c2,3.1114082344597834e-18,5.318188176384118e-18,1.8826587728315057e-17,3.420335915497361e-17,4.57824054230583e-17,8.605286305586745e-17,4.9538255390302275e-17,1.1375595406162987e-17,3.848277474529425e-17,3.982398855154488e-17,2.8516836550806365e-17,2.3038181539441554e-18
mom_c3,8.112106533654951e-16,1.0161618157775794e-15,9.177621465258131e-15,9.707357564536865e-15,1.736597959889081e-14,4.7456576022413335e-14,1.2314807376970216e-13,7.911110866875778e-14,6.648113591752047e-14,9.109586084868771e-15,1.1922070047767214e-14,1.5271400528020116e-15
mom_c4,0.0,0.0,0.0,4.280890531240644e-34,2.6987981079059883e-29,1.339938780997056e-23,2.340515990341365e-24,1.6095355846734555e-24,5.301045571066779e-23,3.5617596379350394e-33,3.2929109474260316e-35,0.0
ncl_a1,4.088668292823172e-11,4.341192683110506e-11,4.129887057335857e-11,3.235952825142441e-11,4.244989082469175e-11,5.1552765528706246e-11,1.4175254026138617e-10,1.0411519563158222e-10,4.1976797038323355e-11,1.6720369880318664e-11,2.4916875854263942e-11,3.109840857051793e-11
ncl_a2,2.3647083640179756e-13,2.2564057827051398e-13,1.991403190352431e-13,1.1633744098279997e-13,7.917111925900486e-14,7.346776859833495e-14,5.6349259839379856e-14,2.6091970719969472e-14,3.1211107510325034e-14,4.592827108755061e-14,9.371079216433098e-14,1.4900567216723226e-13
ncl_a3,4.956400290190288e-10,4.6304307610434137e-10,3.81995490794651e-10,2.4823443300903136e-10,3.0543384488268543e-10,3.776128854049432e-10,1.0546244988418607e-09,7.494614928660326e-10,3.6005581849352097e-10,1.643565700204519e-10,2.548667943358396e-10,3.388885561061983e-10
ncl_c1,3.4821771795244885e-14,4.5563348965082726e-14,2.8645713730755806e-13,3.1255990092134145e-13,1.2267470025917326e-12,2.4565601289272543e-12,6.782777031005827e-12,3.891856455162657e-12,2.548609110211708e-12,3.9834129918203676e-13,3.188132266865318e-13,9.465554560864411e-14
ncl_c2,1.6026786495614972e-17,2.9408325492901716e-17,1.086036197339657e-16,1.5554819075660385e-16,1.8313180544905034e-16,3.3124486010866416e-16,2.3569938483970147e-16,5.887211840895879e-17,1.9469117143600117e-16,1.4782047095078646e-16,1.383790711437756e-16,1.3090345779069089e-17
ncl_c3,9.700168186049796e-13,6.977181961527468e-13,3.0792415058739087e-12,2.7182687524496263e-12,9.15457206568382e-12,1.903353516463646e-11,6.509468658544293e-11,3.792037170380347e-11,2.293284659393713e-11,4.3072060675053425e-12,5.509077135451568e-12,1.8351767588214996e-12
pom_a1,2.3041462071660135e-09,2.438709012508866e-09,2.7171138672343886e-09,3.281489968642859e-09,4.577070722433518e-09,4.316219381905739e-09,4.78089834388129e-09,4.445440016098701e-09,4.016705190679204e-09,3.7822656118180475e-09,3.6908065492724518e-09,3.0342901524704757e-09
pom_a3,3.818127411459038e-11,7.510443655878163e-11,1.3955885058702933e-10,1.4325476915821866e-10,2.0233258124502385e-10,1.3158214795527812e-10,1.401366661601955e-10,1.3957048017321227e-10,1.216537010018115e-10,6.757529952272634e-11,7.874952773212485e-11,5.104573361225384e-11
pom_a4,1.3835474987899943e-09,1.3370083928876397e-09,1.2896580470211916e-09,1.2917888980723546e-09,1.1665518551140508e-09,1.0218297319397607e-09,9.324109262465186e-10,1.0463652166947668e-09,1.2504047797179396e-09,1.7201865487592727e-09,2.0129218292197493e-09,1.806989446961893e-09
pom_c1,3.3349679354893746e-12,5.193746040882408e-12,1.2459542945986168e-11,1.680283516491965e-11,3.798986125680415e-11,4.5341608939653e-11,9.10463926473426e-11,6.688862658199568e-11,5.084097379204344e-11,1.4607941592470475e-11,2.786560565626317e-11,7.884081408560117e-12
pom_c3,3.7122914334566937e-13,4.837315986140622e-13,2.3244928117754915e-12,4.003627724485925e-12,4.3958469676808054e-12,3.787960830420323e-12,6.2977422755905454e-12,6.2103022377413275e-12,4.979414450212438e-12,1.5879137197846727e-12,3.4707670765188325e-12,4.667197617963526e-13
pom_c4,4.7847045401438215e-35,2.155604522272529e-35,2.9729609001751385e-34,1.4194808580493574e-27,4.6918960152972526e-23,2.896503278518965e-17,2.338872372583897e-17,3.2965857915669367e-16,1.2213761142686842e-16,4.122891195023226e-28,1.0803552171288809e-29,1.0246730302763887e-34
soa_a1,7.062918583322642e-10,7.233129650785486e-10,7.836795101745508e-10,9.950176238504582e-10,1.7590690015722998e-09,2.3621749001279113e-09,4.23213153410984e-09,4.10986622512155e-09,2.6056334867519126e-09,1.4050874908022593e-09,1.1842862246425057e-09,9.434126813090415e-10
soa_a2,2.7525405565942407e-11,2.8459323439533613e-11,2.0337323838881538e-11,5.588134122103128e-12,2.1256332197877592e-12,4.738595366787779e-12,6.6058959517778515e-12,1.067568689699927e-11,1.6804758973254508e-11,1.1463590493532294e-11,1.6833459973164544e-11,2.5537141845610734e-11
soa_a3,2.448684310873972e-11,3.598298395357524e-11,5.364120606032863e-11,5.804967617706325e-11,9.743360285252578e-11,1.0469519695632812e-10,1.9138110540772857e-10,2.0270406186906342e-10,1.2916927250028465e-10,5.50752915495778e-11,5.826711335643608e-11,3.7400575692014826e-11
soa_c1,9.16245378179692e-13,1.4485703218533597e-12,3.857130760620553e-12,5.643340829364352e-12,1.9597932651715944e-11,3.306145635040281e-11,1.0567507979786228e-10,7.52640449963593e-11,4.013745585895734e-11,6.199628484193642e-12,8.51757119696428e-12,2.2817310107309252e-12
soa_c2,2.3849542471672015e-15,4.346776150148833e-15,9.716810452228223e-15,2.223936883784185e-15,3.846748037429149e-15,9.801698400136154e-15,1.7076365481697407e-14,1.041036865273657e-14,2.4121104622693533e-14,5.5002444418960576e-15,7.816896916811988e-15,3.3092745039354837e-15
soa_c3,1.2668926780042e-13,1.4464957823114716e-13,7.075592282218546e-13,1.6073746066797012e-12,2.757946648834775e-12,3.5868378579773097e-12,1.0202177644358379e-11,9.846482136588453e-12,4.93156990938326e-12,8.705400766570448e-13,1.5892337359296738e-12,1.7189330200114566e-13
so4_a1,1.656935588734143e-09,2.0315416016103427e-09,2.50104403853868e-09,3.4736462595219564e-09,6.5828724693517415e-09,7.548437430671129e-09,1.0966484609298277e-08,9.044592630402803e-09,6.064486690604554e-09,3.3759284256973388e-09,2.650948349725013e-09,1.7830082965630822e-09
so4_a2,9.497872627273196e-11,1.1754310025313686e-10,1.4037986051373963e-10,1.4946748005950639e-10,1.6958513759934846e-10,2.246813013417892e-10,2.3921895020428963e-10,2.0536908285073707e-10,1.765148444077269e-10,1.5475487558092027e-10,1.3740648896476415e-10,1.1080403955476825e-10
so4_a3,8.862552358657183e-11,1.7576796962348595e-10,4.1863212896231516e-10,5.547062809085901e-10,8.34163571550306e-10,6.905597760287208e-10,7.977000171521809e-10,8.063006373681958e-10,6.259960882992743e-10,3.5299069223171387e-10,2.737286231013769e-10,1.2078257838332718e-10
so4_c1,3.2901201294649463e-12,7.054302020997882e-12,3.389484179439073e-11,5.323663385126132e-11,1.352236239648974e-10,2.1069877786938918e-10,4.4697534562487817e-10,3.148217520010377e-10,1.8699747306172299e-10,4.0934994977037675e-11,4.220252619591136e-11,1.0711753532788304e-11
so4_c2,1.7752036887458585e-14,3.712681610713517e-14,1.4433070081969201e-13,2.3154522461703297e-13,3.338297791411621e-13,3.312291304950754e-13,6.240228602946707e-13,3.246935326942785e-13,5.16395357464533e-13,1.9233478199855158e-13,2.2836984039931174e-13,2.996343136715124e-14
so4_c3,5.533677899585698e-13,8.585687499493289e-13,5.588121979038796e-12,1.2886565946279571e-11,1.9277668003581105e-11,2.036478971567668e-11,3.873638909634991e-11,3.642362106370811e-11,2.456437310505155e-11,5.666580052410275e-12,8.503108807345061e-12,9.535583043659979e-13
dst_a1,2.6375797101962917e-09,4.030143330169267e-09,6.908983163356197e-09,9.644470999603527e-09,1.0634518154972739e-08,6.556588161288346e-09,1.98435246012707e-09,2.736358251098636e-09,5.04379027432833e-09,9.735917849695852e-09,8.964343933826058e-09,4.309067325181104e-09
dst_a3,3.566012551914355e-08,5.897713606373145e-08,1.3357828265725402e-07,2.0435078340597101e-07,2.3071501686899865e-07,1.361247541353805e-07,4.0762927255855175e-08,5.225641430683936e-08,9.263821709737385e-08,1.7540581609409855e-07,1.3235056428584357e-07,5.6872973885901956e-08
