,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
mom_a1,2.864857439818791e-12,3.0005386196518824e-12,4.610625249645839e-12,5.18094334794883e-12,5.837921292217718e-12,6.5864492679312825e-12,9.755179303239103e-12,8.318359889791793e-12,7.177359401255856e-12,1.446590850578966e-11,1.0515736718896829e-11,3.637329369990394e-12
mom_a2,4.921529509475291e-15,6.964873251432465e-15,1.3824605997188148e-14,2.0173538065200967e-14,1.703614327516409e-14,6.731859993356964e-15,6.0044297923208655e-15,5.5811585347319455e-15,8.828692171867353e-15,2.679486068245772e-14,2.4049108516242812e-14,8.694495895000907e-15
mom_a3,6.714769257114284e-13,8.246885162613293e-13,1.2808236459285749e-12,1.5064422148949874e-12,1.4249646384731363e-12,1.2245650457196056e-12,1.7364472490108418e-12,1.601499206686785e-12,1.852434655322255e-12,3.603426151216338e-12,2.7545099447884303e-12,7.459793958768113e-13
mom_a4,5.574820795992572e-17,4.1209128957044524e-17,4.924850725661475e-17,1.0274280024856618e-16,7.511132157715493e-17,2.2751806234701714e-17,2.177335414044744e-17,6.139767949009549e-17,1.246111726259776e-16,5.809988508839194e-16,6.1356546776083435e-16,1.4856310708729166e-16
mom_c1,1.825759866642268e-13,9.456131488732797e-14,4.44615081785036e-14,5.960419061524364e-14,1.4017298877611745e-13,1.4739278591038851e-13,1.4571028032154404e-13,1.5608945613896502e-13,1.0947238802310258e-13,8.664150939665521e-14,1.9934391865070872e-13,8.091145348122428e-14
mom_c2,4.1392918562986456e-17,2.889304821956283e-17,1.5503303590599563e-17,1.8243670241926488e-17,1.0253267652064301e-17,3.740301039679509e-18,1.4466934998191316e-18,7.895242491423168e-19,2.0957921560544196e-18,1.7571099612026972e-17,4.628276366686918e-17,2.130920490077046e-17
mom_c3,5.134085566621885e-14,3.1437261919110143e-14,2.6427832836082958e-14,3.349845560988128e-14,3.830214886034987e-14,2.996470191657212e-14,3.268644578093005e-14,3.444764411870624e-14,3.9625119456270994e-14,4.3054579676850627e-14,8.64686943466246e-14,1.741820426228672e-14
mom_c4,6.465191011531749e-33,7.398968390117828e-35,1.6672863350965765e-26,1.717062848081416e-24,5.824158091094467e-24,6.493807854914241e-29,1.4777714574210978e-24,1.7677223121233515e-24,3.638455658972273e-24,3.43020545343508e-28,1.5842238978456946e-24,1.1224270256964e-32
ncl_a1,2.996506862085191e-11,3.694727856995428e-11,4.3623639423007177e-11,3.111868401850515e-11,2.7214496281513512e-11,3.524215294592459e-11,3.866213252323725e-11,4.380379045598737e-11,3.6305815992454527e-11,5.2679652307041636e-11,4.463207928240287e-11,2.6644103590101054e-11
ncl_a2,5.559502443369495e-14,9.449358613286551e-14,1.4053591190082981e-13,1.1600982219132916e-13,3.752348163633436e-14,9.587291491296515e-15,6.078345275430065e-15,5.478440543284311e-15,1.22935634518399e-14,5.4844427881551444e-14,8.116158569868026e-14,6.234451838246433e-14
ncl_a3,4.743063719558904e-10,5.398044788940126e-10,5.843129868843278e-10,3.242689450289049e-10,2.0237950204560207e-10,2.0969799507941644e-10,2.4740662296629523e-10,2.7871935315282315e-10,3.2456187737395226e-10,7.01544544678967e-10,6.980104827469802e-10,4.061278535694157e-10
ncl_c1,1.5767841676436745e-12,7.896067697257814e-13,3.4212929256143e-13,4.035553358497368e-13,8.900684551373106e-13,1.2082725228332314e-12,1.1285170931421562e-12,1.315170411811395e-12,8.913754608562419e-13,5.411165222499181e-13,1.142479665559859e-12,6.071380377614677e-13
ncl_c2,3.5464292766670253e-16,2.41797651483018e-16,1.1431890175367019e-16,1.0163144669965424e-16,3.940383043120469e-17,1.5636213317063358e-17,3.482721132833559e-18,1.2071511968080894e-18,4.7987588699605255e-18,6.556496247657844e-17,2.401473666039706e-16,1.5158406332856393e-16
ncl_c3,1.9675053253287444e-11,8.52828137970496e-12,4.8010835758394155e-12,4.181462901625688e-12,7.352069474053646e-12,8.133694238965372e-12,7.366812888875973e-12,8.561323525113629e-12,6.561293175444405e-12,6.772402083576878e-12,1.5709423345500184e-11,7.708195193245615e-12
pom_a1,5.031585703640928e-10,4.948161325124545e-10,4.355996396920858e-10,4.024741928621012e-10,5.585582552036783e-10,7.844007110513473e-10,9.105241560725119e-10,1.033636176650532e-09,8.884370461537117e-10,7.069638763290698e-10,5.180805229265673e-10,4.4983455849134657e-10
pom_a3,7.599982275452444e-12,9.548794047131715e-12,1.697631618613471e-11,3.466283857167518e-11,4.270219247648477e-11,3.890244029691736e-11,4.7614946707685846e-11,6.23050430692551e-11,4.240418433054671e-11,3.5070703285899896e-11,2.5077186854849387e-11,9.072373061136396e-12
pom_a4,1.2090234369210862e-10,1.0787640225551343e-10,8.997482620065611e-11,7.358380571531598e-11,6.714778039151881e-11,5.786004314556337e-11,5.531216110132853e-11,6.159738691335903e-11,7.844375149446137e-11,9.293327912773819e-11,9.784268534263063e-11,1.0448711340593775e-10
pom_c1,1.3751710707665676e-11,7.208351970877658e-12,4.665090362621083e-12,4.561412445674984e-12,7.943173029045791e-12,9.776783549408918e-12,1.0630158212010521e-11,1.2599252370570913e-11,1.2170358471008669e-11,4.813999025798932e-12,1.1186244638916598e-11,6.737368909298658e-12
pom_c3,4.5043989697034215e-13,4.0028435210545665e-13,5.726533071521989e-13,9.739727470717274e-13,1.349326141271423e-12,7.448979584198656e-13,7.31894254403509e-13,9.388067580273773e-13,1.228333624050948e-12,6.085457116521142e-13,1.3914599724176857e-12,2.3310720758187853e-13
